Job Title,Company Name,Rating,Experience,Salary,Location,Type,Skills Required
AI and Data Science Engineer,PwC,3.6,12-20 Yrs,Not disclosed,Hyderabad,Full Time,AWS
Sr Data Scientist,Accenture,4.1,5-8 Yrs,Not disclosed,Mumbai,Full Time,AWS
Data Science - Route Optimization - Senior Associate 2-ANI,PwC,3.6,6-7 Yrs,Not disclosed,Hyderabad,Full Time,AWS
Sr Data Scientist,ServiceNow,4.1,15-20 Yrs,Not disclosed,Hyderabad,Full Time,ML
Sr Data Scientist,Service Now Planet,5,15-16 Yrs,Not disclosed,Hyderabad,Full Time,ML
Sr Data Scientist,Bajaj Finance,4.1,2-4 Yrs,Not disclosed,Mumbai,Full Time,Python
Senior Analyst - Data Science (Regression),Tiger Analytics,3.5,2-4 Yrs,Not disclosed,Hyderabad,Full Time,ML
Marketing / Data Science - Professional,Accenture,4.1,2-3 Yrs,Not disclosed,Bangalore,Full Time,Python
Data Science Analytics Specialist - Data Science,Accenture,4.1,7-11 Yrs,Not disclosed,Mumbai,Full Time,DataAanlysis
AI and Data Science Engineer,AVE-Promagne Business Solutions,4.1,9-14 Yrs,Not disclosed,Hyderabad,Full Time,Python
Manager-Data Science,AMERICAN EXPRESS,4.3,2-6 Yrs,Not disclosed,Hyderabad,Full Time,ML
Data Science Specialist,Accenture,4.1,2-4 Yrs,Not disclosed,Hyderabad,Full Time,Python
Senior Analyst - Data Science,Tiger Analytics,3.5,0-4 Yrs,Not disclosed,Chennai,Full Time,ML
Delivery Head - Analytics & Data Science,Okda Solutions,4.1,8-13 Yrs,Not disclosed,Gurgaon,Full Time,ML
Lead Data Scientist,CAMBRIDGE TECHNOLOGY ENTERPRISES (CTE),3.9,5-10 Yrs,25-40 Lacs PA,Hyderabad,Full Time,ML
Manager-Data Science,Visa Inc,4.2,4-7 Yrs,Not disclosed,Bangalore,Full Time,DataAanlysis
AI and Data Science Engineer,Loyalytics Consulting,3.8,5-10 Yrs,Not disclosed,Bangalore,Full Time,Management 
Data Science consultant,Accenture,4.1,4-5 Yrs,Not disclosed,Bangalore,Full Time,Python
Manager-Data Science,PwC,3.6,3-7 Yrs,Not disclosed,Hyderabad,Full Time,ML
Data Science - Pricing & Promo Analytics - Senior Associate 2 - ANI,PwC,3.6,6-11 Yrs,Not disclosed,Hyderabad,Full Time,AWS
Data Science Engineer,Ihub Anubhuti,4.1,2-7 Yrs,"60,000-1 Lacs PA",New Delhi,Full Time,Python
Data Science Engineer 1,Emerson,4.1,2-3 Yrs,Not disclosed,Mumbai,Full Time,Python
Data Science Engineer 1,Copeland,4,2-3 Yrs,Not disclosed,Mumbai,Full Time,Python
Manager-Data Science,Globaldata,3.8,7-12 Yrs,Not disclosed,Hyderabad,Full Time,Python
Manager-Data Science,Rintelo Consulting,4.1,8-13 Yrs,Not disclosed,Gurgaon,Full Time,DataAanlysis
Manager-Data Science,PwC,3.6,3-6 Yrs,Not disclosed,Hyderabad,Full Time,AWS
Manager-Data Science,PwC,3.6,3-7 Yrs,Not disclosed,Hyderabad,Full Time,ML
Data Science Engineer,Arbo Technologies,4.1,2-7 Yrs,Not disclosed,Bangalore,WFH,Python
Lead Data Scientist,Accenture,4.1,6-8 Yrs,Not disclosed,Chennai,WFH,SQL
"Senior Analyst/ Data Scientist - Data Science
",Tiger Analytics,3.5,2-7 Yrs,Not disclosed,Hyderabad,WFH,DataAanlysis
Manager-Data Science,Tredence,3.6,8-10 Yrs,Not disclosed,Hyderabad,Full Time,SQL
Director - Data Science | Kenvue,Talent500,2.7,15-22 Yrs,Not disclosed,Bangalore,Full Time,ML
Manager-Data Science,Antworks,3.6,10-14 Yrs,Not disclosed,Chennai,Full Time,ML
Data Science Analyst,Ira Commerce,4.1,3-8 Yrs,Not disclosed,Hyderabad,Full Time,Python
Data Sciences Professional,Nadal Business Services Pvt Ltd,4.1,8-12 Yrs,Not disclosed,Hyderabad,Full Time,AWS
Data science Professional,Techsist Solution,4.1,5-8 Yrs,Not disclosed,Hyderabad,Full Time,Python
Manager-Data Science,Tata Chemicals,4.1,5-8 Yrs,Not disclosed,Mumbai,Full Time,AWS
Manager-Data Science,BMC Software,4.2,10-12 Yrs,Not disclosed,Mumbai,Full Time,Management 
Data Science Engineer | Data Science Consulting Company | GGN,unnati,4.1,1-3 Yrs,12-15 Lacs PA,New Delhi,Full Time,Python
Machine Learning Engineer - Data Modeling/Data Science,Okda Solutions,4.1,4-6 Yrs,Not disclosed,Mumbai,Full Time,ML
Applied Intelligence Analyst / Consultant - Marketing - Data Science,Accenture,4.1,3-5 Yrs,Not disclosed,Bangalore,Full Time,Python
Lead Data Scientist,V Mart,4.2,6-9 Yrs,Not disclosed,New Delhi,Full Time,Python
Business Analyst - Data Science,PayU,3.8,4-9 Yrs,Not disclosed,Bangalore,Full Time,ML
"Senior Analyst, Data Science",DUN BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,3.6,5-8 Yrs,Not disclosed,Hyderabad,Full Time,SQL
Data Science Engineer : Bangalore,Oracle,3.9,5-9 Yrs,Not disclosed,Bangalore,Full Time,Python
Senior Analyst Data Science,Navit Software Solutions,4.4,5-8 Yrs,Not disclosed,Hyderabad,Full Time,DeepLearning
Sr Data Scientist,Visa Inc,4.2,8-13 Yrs,Not disclosed,Bangalore,Full Time,Management 
Manager-Data Science,Cerner,3.9,3-7 Yrs,Not disclosed,Bangalore,Full Time,ML
Associate Scientist- Data Science,Axa Technology Services,4.2,3-7 Yrs,Not disclosed,Gurgaon,Full Time,ML
Engineer - Data Science (DATA SCIENCE ENGINEER),Ninestars Information Technologies,3.5,0-1 Yrs,Not disclosed,Bangalore,Full Time,ML
Data Science Analyst,Pepsi Foods,4.1,4-7 Yrs,Not disclosed,Hyderabad,Full Time,SQL
Manager-Data Science,PwC,3.6,8-13 Yrs,Not disclosed,Hyderabad,Full Time,AWS
AI and Data Science Engineer,Ethnotech Academy,3.8,2-5 Yrs,Not disclosed,Bangalore,Full Time,ML
Data Science Engineer,Conneqt Digital,3.8,4-7 Yrs,Not disclosed,Bangalore,Full Time,ML
Senior Specialist Data Science,Dr Reddys,4.2,2-5 Yrs,Not disclosed,Hyderabad,Full Time,Management 
Lead Data Scientist,Bajaj Finserv Ltd.,3.6,3-6 Yrs,Not disclosed,Mumbai,Full Time,Management 
Data Science Analyst,Ira Commerce,4.1,1-3 Yrs,Not disclosed,Hyderabad,Full Time,Python
Data Science/Analyst,Myfuturejobs,4.1,2-5 Yrs,Not disclosed,New Delhi,Full Time,DataAanlysis
Senior Software Engineer - Data Science,Skillety,3.2,5-7 Yrs,Not disclosed,Bangalore,Full Time,ML
Junior Software Engineer - Data Science,LogiNext,3.4,0-1 Yrs,Not disclosed,Mumbai,Full Time,SQL
Lead Data Scientist,All About It India,4.3,7-10 Yrs,Not disclosed,Hyderabad,Full Time,Management 
"Scientist, Data Science",XPO,3.7,2-5 Yrs,Not disclosed,Hyderabad,Full Time,AWS
Lead Data Scientist,Jet2 Travel Technologies,3.6,7-10 Yrs,Not disclosed,Mumbai,Full Time,Python
Manager-Data Science,Globaldata,3.8,7-12 Yrs,Not disclosed,Hyderabad,Full Time,DeepLearning
Lead Data Scientist,Jet2 Travel Technologies,3.6,5-8 Yrs,Not disclosed,Mumbai,Full Time,ML
Lead Data Scientist,Essenware,4.3,10-12 Yrs,Not disclosed,Hyderabad,Full Time,DataAanlysis
Manager-Data Science,General Mills,4.3,8-12 Yrs,Not disclosed,Mumbai,Full Time,Management 
Specialist - Data Science - GMO,Dr Reddys,4.2,2-6 Yrs,Not disclosed,Hyderabad,Full Time,ML
Lead Data Scientist,Dr Reddys,4.2,2-5 Yrs,Not disclosed,Hyderabad,Full Time,ML
"Quality Assurance Engineer, Data Science",Epiq Global,4.1,4-8 Yrs,Not disclosed,Hyderabad,Full Time,Python
Data Science Developer,TRH Consultancy Services,4.1,5-10 Yrs,Not disclosed,Hyderabad,Full Time,DeepLearning
AI and Data Science Engineer,Alp Consulting,3.5,2-5 Yrs,Not disclosed,Mumbai,Full Time,ML
AI and Data Science Engineer,Uncodemy,4.8,2-7 Yrs,7-12 Lacs PA,New Delhi,Full Time,Python
AI and Data Science Engineer,Techvidya Career,3.8,1-4 Yrs,1.5-4.5 Lacs PA,New Delhi,Full Time,Python
Manager-Data Science,BNY Mellon,4.1,15-20 Yrs,Not disclosed,Mumbai,Full Time,Management 
AI and Data Science Engineer,Rtwo Healthcare Solutions Llp,4.1,3-8 Yrs,Not disclosed,Bangalore,Full Time,SQL
Data Science Engineer III - Machine Learning,OptOut.Work,4.1,6-11 Yrs,Not disclosed,Bangalore,Full Time,Python
AI and Data Science Engineer,Limendo,4.1,2-9 Yrs,Not disclosed,Bangalore,Full Time,SQL
Senior Software Engineer - Data Science,LogiNext,3.4,4-7 Yrs,Not disclosed,Mumbai,Full Time,AWS
Senior Digital Innovation Engineer - Data Science,Buckman,3.3,3-7 Yrs,Not disclosed,Chennai,Full Time,ML
Data Science Professional,Response Informatics,3.9,5-10 Yrs,Not disclosed,Hyderabad,Full Time,ML
Manager-Data Science,Booking Holdings,4.7,2-6 Yrs,Not disclosed,Bangalore,Full Time,ML
Manager-Data Science,Xcel Hires Managment Solutions Pvt Ltd,4.1,5-8 Yrs,Not disclosed,Bangalore,Full Time,ML
Manager-Data Science,Digit88,3.9,5-7 Yrs,Not disclosed,Bangalore,Full Time,Management 
Manager-Data Science,Xoom,4.1,1-3 Yrs,Not disclosed,Bangalore,Full Time,Management 
Data science with Statistics Professional,Skillety,3.2,1-3 Yrs,Not disclosed,Bangalore,Full Time,ML
Data Science Professional,Xitadel,4,2-6 Yrs,Not disclosed,Bangalore,WFH,SQL
